taxonomy_code,reason
207P00000X,Emergency Medicine - not independent practice
207PE0004X,Emergency Medicine with EMS - not independent practice
207PE0005X,Emergency Medicine Undersea - not independent practice
207PH0002X,Emergency Medicine Hospice - not independent practice
207PP0204X,Pediatric Emergency Medicine - not independent practice
207PS0010X,Emergency Medicine Sports - not independent practice
207PT0002X,Emergency Medicine Toxicology - not independent practice
208M00000X,Hospitalist - hospital only practice
